date,evidence_id,source_id,verdict,decision,reason,note,reviewer
2026-06-18,ev_slope_batcheler24_1,batcheler_silvopasture_2024,unsupported,drop,off_scope,"study-site characteristics table, not a suitability claim",peetmate
2026-06-18,ev_annual_precipitation_batcheler24_1,batcheler_silvopasture_2024,unsupported,drop,off_scope,"study-site characteristics table, not a suitability claim",peetmate
2026-06-18,ev_mean_annual_temperature_batcheler24_1,batcheler_silvopasture_2024,unsupported,drop,off_scope,"study-site characteristics table, not a suitability claim",peetmate
2026-06-18,ev_land_cover_batcheler24_1,batcheler_silvopasture_2024,mismatch,drop,off_scope,the quote describes experimental sites in the methods and is irrelevant to suitability analysis,peetmate
2026-06-18,ev_tenure_security_fesenmyer25_1,fesenmyer_2025,mismatch,ok,accepted_correction,"this is correct. The quote is purely directional, the areas are global estimates and cannot be used to create an quantitative thresholds,",peetmate
2026-06-18,ev_accessibility_travel_time_fesenmyer25_1,fesenmyer_2025,mismatch,drop,other,"reforestation not agroforestry, no evidence this paper should be mapped to agroforestry.",peetmate
2026-06-18,ev_tree_canopy_cover_sprenkle24_5,sprenkle_hyppolite_2024,mismatch,drop,off_scope,Section is about CO2 removal and not agroforestry sutiability.,peetmate
2026-06-18,ev_tree_canopy_cover_zomer14_2,zomer_2014,mismatch,drop,off_scope,Section is just describing biomass distribution and tree cover this is nothing to do with suitability.,peetmate
2026-06-18,ev_tree_canopy_cover_zomer14_3,zomer_2014,mismatch,drop,off_scope,Section is just describing biomass distribution and tree cover this is nothing to do with suitability.,peetmate
2026-06-18,ev_accessibility_travel_time_fesenmyer25_1,fesenmyer_2025,,drop,other,"reforestation not agroforestry, no evidence this paper should be mapped to agroforestry.",peetmate
2026-06-18,ev_tree_canopy_cover_sprenkle24_5,sprenkle_hyppolite_2024,,drop,off_scope,Section is about CO2 removal and not agroforestry sutiability.,peetmate
2026-06-18,ev_soil_organic_carbon_fsrp22_1,wb_fsrp_2022,,drop,off_scope,this is a generic problem statement not tied to agroforestry at all.,peetmate
2026-06-18,ev_tree_canopy_cover_zomer14_2,zomer_2014,,drop,off_scope,Section is just describing biomass distribution and tree cover this is nothing to do with suitability.,peetmate
2026-06-18,ev_tree_canopy_cover_zomer14_3,zomer_2014,,drop,off_scope,Section is just describing biomass distribution and tree cover this is nothing to do with suitability.,peetmate
2026-06-18,ev_T4_precip_unger2023_1,unger_2023,,drop,off_scope,this is about a study area not suitability!,peetmate
2026-06-18,ev_tree_canopy_cover_batcheler24_1,batcheler_silvopasture_2024,scope,drop,off_scope,,peetmate
2026-06-18,ev_tenure_security_castle21_2,castle_sr_2021,scope,drop,off_scope,,peetmate
2026-06-18,ev_tenure_security_castle21_3,castle_sr_2021,scope,drop,off_scope,,peetmate
2026-06-18,ev_extension_governance_castle21_1,castle_sr_2021,scope,drop,off_scope,,peetmate
2026-06-18,ev_accessibility_travel_time_fesenmyer25_1,fesenmyer_2025,,drop,other,"reforestation not agroforestry, no evidence this paper should be mapped to agroforestry.",peetmate
