dataset_id,dataset_name,analytical_module,hazard_type,scenario_type,time_period,spatial_resolution_m,geographic_coverage,data_format,access_type,download_url,gee_asset_id,license,citation,doi,version,preprocessing_notes,limitations
worldclim_v2_bioclim,WorldClim v2.1 Bioclimatic Variables,climate_hazard,multi,baseline,1970–2000,1000,Global,geotiff,direct_download,https://www.worldclim.org/data/worldclim21.html,WORLDCLIM/V1/BIO,CC-BY-4.0,"Fick, S.E. & Hijmans, R.J. (2017). WorldClim 2: new 1km spatial resolution climate surfaces for global land areas. International Journal of Climatology, 37(12), 4302–4315.",10.1002/joc.5086,v2.1,"Resample to 1 km COG, clip to AOI. BIO1=Annual Mean Temp; BIO12=Annual Precipitation; BIO15=Precipitation Seasonality most relevant for agroforestry suitability.",30-year climatological mean; does not capture interannual variability or extremes. Resolution may mask local topographic effects. Not for: Site-level microclimate analysis or real-time weather monitoring
chelsa_bioclim_v21_baseline,CHELSA Bioclimatic Variables v2.1 (Baseline),climate_hazard,multi,baseline,1981–2010,1000,Global,geotiff_cog,direct_download,https://chelsa-climate.org/bioclim/,,CC-BY-4.0,"Karger, D.N. et al. (2017). Climatologies at high resolution for the earth's land surface areas (CHELSA). Scientific Data, 4, 170122.",10.1038/sdata.2017.122,v2.1,"Resample to 1 km COG. CHELSA-BIOCLIM+ Version 1.2 used by Yadav et al. (2024) for agroforestry suitability in Punjab. Use Bio1 (Annual Mean Temp), Bio12 (Annual Precipitation), Tmax_Jan, Tmax_May.",Statistical downscaling from ERA5; may show artefacts in complex terrain. Less validated over Africa and Central Asia. Not for: Short-term weather forecasting or sub-field precision agriculture
chelsa_bioclim_ssp245_2050,"CHELSA Bioclimatic Variables v2.1 (SSP2-4.5, 2041–2070)",climate_hazard,heat_stress,future_ssp245,2041–2070,1000,Global,geotiff_cog,direct_download,https://chelsa-climate.org/cmip6/,,CC-BY-4.0,"Karger, D.N. et al. (2023). CHELSA-W5E5: Daily 1 km meteorological forcing data for climate impact studies. Earth System Science Data, 15, 2445–2464.",10.5194/essd-15-2445-2023,v2.1,Use delta-change approach relative to baseline. Clip to project AOI. Ensemble mean of available CMIP6 GCMs preferred.,Ensemble spread is wide in tropical regions. Precipitation projections carry higher uncertainty than temperature. Not for: Single-GCM deterministic planning; local infrastructure design
spei_global_v26,Global SPEI Database v2.6,climate_hazard,drought,baseline,1950–2020,55000,Global,netcdf,direct_download,https://spei.csic.es/database.html,,CC-BY-4.0,"Vicente-Serrano, S.M. et al. (2010). A Multiscalar Drought Index Sensitive to Global Warming: The Standardized Precipitation Evapotranspiration Index. Journal of Climate, 23(7), 1696–1718.",10.1175/2009JCLI2909.1,v2.6,Extract SPEI-12 (12-month accumulation window) for drought risk. Compute mean and trend over 1981–2010 baseline. Bilinearly resample to 1 km for overlay.,Very coarse native resolution (0.5°). Misses sub-regional drought heterogeneity. PET estimation method affects values. Not for: Farm-level drought monitoring; flash drought detection
isric_soilgrids250_v2,ISRIC SoilGrids 250m v2.0,structural_suitability,,baseline,circa 2000–2015,250,Global,geotiff_cog,gee_asset,https://www.isric.org/explore/soilgrids,projects/soilgrids-isric/,CC-BY-4.0,"Poggio, L. et al. (2021). SoilGrids 2.0: producing soil information for the globe with quantified spatial uncertainty. SOIL, 7, 217–240.",10.5194/soil-7-217-2021,v2.0,"Extract layers at 0–30 cm depth (topsoil) and 30–60 cm (subsoil). Resample to 1 km. pH, SOC, clay content, CEC are primary agroforestry suitability constraints per Ahmad et al. (2020), Chuma et al. (2021), Haile (2024).",Prediction uncertainty is high in data-sparse regions (much of sub-Saharan Africa). Point observations biased toward accessible areas. Temporal static — does not capture land-use change effects on soil. Not for: Precision soil management at plot level; nutrient management plans without ground-truthing
hwsd_v2,Harmonized World Soil Database v2.0,structural_suitability,,baseline,circa 1990–2007,1000,Global,geotiff,direct_download,https://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v20/en/,,CC-BY-4.0,"FAO/IIASA/ISRIC/ISSCAS/JRC (2023). Harmonized World Soil Database version 2.0. FAO, Rome, Italy & IIASA, Laxenburg, Austria.",10.4060/cc3823en,v2.0,Used by Ahmad et al. (2020) as primary soil input for South Asia agroforestry suitability. Join soil mapping unit attributes on raster values. Extract topsoil properties for suitability scoring.,Coarser conceptual resolution than SoilGrids despite same pixel size — many large mapping units contain internally variable soils. Outdated in rapidly changing agricultural areas. Not for: Detailed site characterisation; soil carbon accounting
srtm_dem_90m,SRTM Digital Elevation Model (90m / 30m),structural_suitability,,baseline,2000,30,Global (56°S–60°N),geotiff_cog,gee_asset,https://dwtkns.com/srtm30m/,USGS/SRTMGL1_003,Public domain (NASA),"Farr, T.G. et al. (2007). The Shuttle Radar Topography Mission. Reviews of Geophysics, 45(2), RG2004.",10.1029/2005RG000183,v3,"Derive slope (degrees) and aspect from DEM in GEE. Slope is primary biophysical constraint for agroforestry machinery access and erosion risk. Used across nearly all 23 AF papers in stocktake (Ahmad et al. 2017, 2018, 2020; Chuma et al. 2021; Haile 2024; Nath et al. 2021; Mushtaq et al. 2023; Seja et al. 2022; Wotlolan et al. 2021).",Voids in high-relief areas filled with ASTER or other interpolation methods — check for artefacts. Vegetation canopy not filtered — potential overestimation of elevation under forest cover. Not for: Hydraulic modelling requiring bare-earth DEM; landslide hazard at plot scale
esa_worldcover_2021,ESA WorldCover 2021 (10m Land Cover),structural_suitability,,baseline,2021,10,Global,geotiff_cog,gee_asset,https://esa-worldcover.org/,ESA/WorldCover/v200,CC-BY-4.0,"Zanaga, D. et al. (2022). ESA WorldCover 10m 2021 v200. Zenodo.",10.5281/zenodo.7254221,v200 (2021),"Reclassify to agricultural mask (cropland, grassland, sparse vegetation) to define eligible agroforestry conversion area. Exclude built-up, water bodies, bare soil with high salinity. Aggregate to 100m or 1km for pipeline. Used as LULC base by multiple AF studies.",Mixed-pixel confusion in fragmented agricultural landscapes. Annual snapshot — does not capture seasonal cultivation. Accuracy lower in arid landscapes and under cloud cover. Not for: Crop-type mapping; sub-field land use classification
global_aridity_index_v3,Global Aridity Index and PET v3 (CGIAR-CSI),climate_hazard,drought,baseline,1970–2000,1000,Global,geotiff,direct_download,https://figshare.com/articles/dataset/Global_Aridity_Index_and_Potential_Evapotranspiration_ET0_Climate_Database_v2/7504448,,CC-BY-4.0,"Trabucco, A. & Zomer, R. (2019). Global Aridity Index and Potential Evapotranspiration (ET0) Climate Database v2. CGIAR-CSI GeoPortal.",10.6084/m9.figshare.7504448,v3,AI < 0.5 = dryland; used to mask unsuitable extreme arid zones for agroforestry. Ahmad et al. (2020) use aridity index as key suitability layer for South Asia. Nath et al. (2021) use Global Aridity Index for Himalayan region.,Derived from WorldClim 1970–2000 climatology — does not reflect recent drying trends. PET estimated with Penman-Monteith assuming reference crop. Not for: Real-time drought monitoring; current water stress assessment
protected_areas_wdpa,World Database on Protected Areas (WDPA),structural_suitability,,baseline,Updated monthly,30,Global,shapefile,direct_download,https://www.protectedplanet.net/en/thematic-areas/wdpa,WCMC/WDPA/current/polygons,Custom (restricted commercial use),UNEP-WCMC & IUCN (2024). Protected Planet: The World Database on Protected Areas (WDPA). Cambridge: UNEP-WCMC and IUCN.,,Monthly release May 2026,"Rasterize to 100m. Hard exclusion mask for IUCN categories Ia, Ib, II for agroforestry suitability (conversion not permitted). Categories V, VI may allow agroforestry within management plans — flag as conditional. Used by Chuma et al. (2021) as exclusion layer around Itombwe Nature Reserve.",Boundary data quality varies by country. Some protected areas are paper parks with little enforcement. Does not capture community conserved areas (OECMs) comprehensively. Not for: Legal compliance decisions; site-level permitting
osm_road_network,OpenStreetMap Road Network,structural_suitability,,baseline,Updated continuously (use annual snapshot),30,Global,shapefile,direct_download,https://download.geofabrik.de/,,ODbL-1.0,OpenStreetMap contributors (2024). OpenStreetMap. www.openstreetmap.org.,,2024 annual snapshot,Compute Euclidean distance to nearest road of any class. Used by Chuma et al. (2021) as infrastructure accessibility layer. Apply 5km threshold as moderate accessibility constraint for agroforestry market access. is_scenario_candidate = true (road investment can change this).,"OSM coverage quality is highly variable in rural sub-Saharan Africa, Central Asia, and remote tropical regions — significant under-mapping in key project areas. Validate against national road datasets where possible. Not for: Routing or logistics planning; travel-time modelling without validation"
worldpop_population_density,"WorldPop Population Density 2020 (constrained, 100m)",exposure,,baseline,2020,100,Global,geotiff_cog,direct_download,https://hub.worldpop.org/geodata/listing?id=75,WorldPop/GP/100m/pop,CC-BY-4.0,WorldPop (2020). Global High Resolution Population Denominators Project - Funded by The Bill & Melinda Gates Foundation (OPP1134076). University of Southampton.,10.5258/SOTON/WP00674,2020,Aggregate to 1 km for pipeline. Use as proxy for population exposure in climate risk and as denominator for opportunity space poverty metrics.,Constrained model relies on settlement/building footprint mapping — may undercount nomadic/dispersed rural populations. Accuracy varies with census quality of input data. Not for: Individual household targeting; electoral boundary analysis
